"","x2","x3","scenario_benchmark"
"1",-2.45461175637,-2.31717154169,175.516228934
"2",5.0019190321,6.39863754848,-367.298925512
"3",0.413124465073,0.207894280243,-39.8100279151
"4",-6.13996650963,-4.55098941593,463.078968987
"5",1.08422826244,0.926480330777,-89.0593304578
"6",0.524194679282,0.323113153738,-47.9916991496
"7",0.279554461271,0.0712277597078,-29.9549540714
"8",1.40618197184,1.29090776672,-112.526836004
"9",-1.40951978708,-1.49050721924,96.1507318673
"10",1.21516945513,1.07310963349,-98.6163062688
"11",-3.74411444538,-3.20966056412,274.801016017
"12",2.30141638931,2.3762263681,-177.228942499
"13",-7.83257525709,-5.29350529122,598.92982336
"14",6.39071661974,9.006025156,-461.919338029
"15",-0.899488025278,-1.04994932528,57.7859557552
"16",-4.49438111523,-3.67083591419,333.238215003
"17",3.36853746686,3.82081750054,-253.2696047
"18",3.29877570204,3.72098949156,-248.335204625
"19",-2.91044632953,-2.64791278316,210.443991035
"20",0.100629851732,-0.1086556174,-16.7262199191
"21",-0.134769222462,-0.339861678276,0.725317511966
"22",2.44973573051,2.56679816944,-187.869100206
"23",-3.22405964513,-2.8656014474,234.582101366
"24",0.505823511322,0.303956348881,-46.6392760012
"25",-2.43214313937,-2.30041733523,173.79943928
"26",5.19671037436,6.73941364135,-380.701814472
"27",-2.08829556454,-2.03857132217,147.583791773
"28",-2.55283475018,-2.38990918127,183.026641984
"29",-0.0973387361721,-0.303506732147,-2.05321487456
"30",0.276373869243,0.0679983990646,-29.7200706106
"31",-0.610996611998,-0.789248469057,36.194165542
"32",1.54244684166,1.44915768868,-122.42788216
"33",1.80294341628,1.75849683038,-141.303270225
"34",-6.49928543208,-4.72143067434,491.727076578
"35",1.76020990471,1.70712924405,-138.211562663
"36",4.56101868939,5.65491104393,-336.806324732
"37",-1.0577918286,-1.18942680271,69.667477825
"38",-10.0996616403,-6.07687750838,784.351836413
"39",4.33528410784,5.28840431548,-321.111546819
"40",2.47862608794,2.60428921484,-189.938986757
"41",-1.43303543811,-1.51021109369,97.9254591204
"42",2.44962835344,2.56665905275,-187.861405422
"43",0.836853268743,0.655279963846,-70.9575153732
"44",-2.88143686568,-2.62737639404,208.215623371
"45",2.11926475505,2.14648193045,-164.13060832
"46",-4.51654106656,-3.68385372241,334.97157778
"47",4.78747861168,6.03221543659,-352.495158279
"48",-2.37095481606,-2.25457172669,169.126458582
"49",-3.27267675949,-2.89864904959,238.331863152
"50",5.76232122683,7.77364388104,-419.37764786
"51",-7.31313362095,-5.08146120031,556.997394301
"52",1.02100915006,0.856454446309,-84.4390339754
"53",-1.13238239817,-1.25428434232,75.2740664803
"54",-3.10944503771,-2.78695449459,225.750339968
"55",2.48071139216,2.60700002349,-190.08835749
"56",2.29818059061,2.37210402188,-176.996558365
"57",-0.0323037800308,-0.23997462285,-6.87765484081
"58",1.20257141637,1.05890837065,-97.697562694
"59",0.171295150449,-0.0380442161621,-21.9545635166
"60",0.952999151233,0.781674571674,-79.4641496425
"61",-3.87817902583,-3.29504703087,285.207397649
"62",2.63542518681,2.80990206886,-201.157913677
"63",-3.6976603216,-3.1797626142,271.198799944
"64",3.47472775578,3.9742894847,-260.77071857
"65",2.08762416564,2.10705058826,-161.851882315
"66",-9.0632928533,-5.74563510816,699.11033095
"67",4.93573687068,6.28458505258,-362.735533205
"68",-4.82671555215,-3.86256824401,359.277429691
"69",5.10756478442,6.58250837333,-374.573291286
"70",-7.00518423401,-4.9493433948,532.237978597
"71",1.78160134118,1.73281193468,-139.75943467
"72",1.91615506445,1.89577820011,-149.484961991
"73",-4.52031828616,-3.686069281,335.267075629
"74",6.49309401664,9.21565719048,-468.807061539
"75",-1.34344314978,-1.4348586498,91.1666837827
"76",-0.539979657086,-0.723757482861,30.8911266442
"77",-1.92061346664,-1.90709716597,134.838494252
"78",-1.85014607751,-1.85109079118,129.490058054
"79",3.48733804856,3.99263698472,-261.660690157
"80",-4.81191155351,-3.85418522252,358.115506473
"81",5.18326300362,6.71564135301,-379.777913163
"82",-5.37702927695,-4.16407678612,402.600770672
"83",8.3078211724,13.4052636471,-588.845334546
"84",-8.59586206163,-5.58185368825,660.925697111
"85",0.392364169589,0.186517710444,-38.2794366825
"86",-5.94617468043,-4.45599755348,447.671729509
